Date,Open,High,Low,Close,Volume
09-12-2009,5.73559,5.94323,5.70744,5.93223,811679761
10-12-2009,5.98852,5.98882,5.88146,5.89147,582259933
11-12-2009,5.93027,5.93862,5.80133,5.83836,510839226
14-12-2009,5.86192,5.92095,5.77519,5.90738,586071544
15-12-2009,5.87076,5.92368,5.79581,5.82389,498963840
16-12-2009,5.84856,5.89366,5.8347,5.84926,420150563
17-12-2009,5.84464,5.84856,5.72834,5.75437,460778902
18-12-2009,5.79091,5.86291,5.77658,5.86123,723426036
21-12-2009,5.87812,5.99017,5.8684,5.9456,725022191
22-12-2009,5.99176,6.02457,5.95817,6.00894,415217950
23-12-2009,6.03369,6.06944,6.0231,6.06126,410440644
24-12-2009,6.10108,6.27863,6.09851,6.26919,596473172
28-12-2009,6.33216,6.41645,6.28649,6.34661,766073740
29-12-2009,6.37754,6.37971,6.26037,6.27118,527780871
30-12-2009,6.26115,6.35829,6.2473,6.34758,489270859
31-12-2009,6.39139,6.39826,6.31539,6.31969,418787205
04-01-2010,6.40299,6.43301,6.36988,6.4184,585186012
05-01-2010,6.44185,6.46601,6.39581,6.4294,716156511
06-01-2010,6.4294,6.45505,6.32017,6.32677,655034271
07-01-2010,6.34867,6.35829,6.26949,6.31559,567320778
08-01-2010,6.31066,6.35829,6.26998,6.35809,532601139
11-01-2010,6.38727,6.38794,6.25153,6.30163,549106952
12-01-2010,6.27744,6.29091,6.19065,6.23002,706451260
13-01-2010,6.2416,6.32579,6.12122,6.31724,719745112
14-01-2010,6.29935,6.31213,6.2688,6.28061,515043096
15-01-2010,6.34022,6.34632,6.17376,6.1755,707249828
19-01-2010,6.24997,6.45376,6.21547,6.44951,868060326
20-01-2010,6.44563,6.46447,6.28306,6.35014,727812323
21-01-2010,6.36744,6.39707,6.21451,6.23983,722813651
22-01-2010,6.20184,6.22334,5.9122,5.93027,1044240081
25-01-2010,6.0833,6.13919,6.00394,6.09065,1238130730
26-01-2010,6.17356,6.40938,6.07544,6.1757,2215173823
27-01-2010,6.20282,6.31559,5.9836,6.23415,2049558235
28-01-2010,6.15773,6.16314,5.95944,5.97683,1395178709
29-01-2010,6.03822,6.06415,5.70545,5.75979,1481772760
01-02-2010,5.77588,5.87812,5.73729,5.84032,890407433
02-02-2010,5.87587,5.88794,5.79955,5.8734,831003402
03-02-2010,5.85602,6.00452,5.8308,5.97486,731415373
04-02-2010,5.90404,5.94982,5.74582,5.7596,900304419
05-02-2010,5.77864,5.87812,5.72394,5.86192,1011550825
08-02-2010,5.8686,5.93471,5.81879,5.82216,567652636
09-02-2010,5.89277,5.92341,5.84051,5.88402,753128511
10-02-2010,5.87222,5.89628,5.82614,5.85239,439731673
11-02-2010,5.84206,5.99017,5.82048,5.95845,654489250
12-02-2010,5.94363,6.04705,5.86291,6.00933,766349187
16-02-2010,6.05659,6.10962,6.04361,6.10018,644982968
17-02-2010,6.12572,6.1271,6.02486,6.07447,517748396
18-02-2010,6.04685,6.11499,6.0268,6.08624,501719344
19-02-2010,6.05343,6.0943,6.03143,6.04814,494512945
22-02-2010,6.07159,6.07307,5.97389,6.01052,464944717
23-02-2010,5.99509,6.03822,5.86938,5.91004,684790465
24-02-2010,5.95355,6.04076,5.93321,6.01838,547994175
25-02-2010,5.91918,6.08408,5.90494,6.05806,791707024
26-02-2010,6.07179,6.15313,6.05806,6.13653,603741475
01-03-2010,6.1703,6.28306,6.16196,6.26783,654091677
02-03-2010,6.29703,6.32284,6.23061,6.26411,674002495
03-03-2010,6.27345,6.29425,6.23602,6.27784,442276721
04-03-2010,6.27943,6.32549,6.25772,6.31891,426911954
05-03-2010,6.44794,6.5887,6.43697,6.56651,1070260443
08-03-2010,6.59714,6.60108,6.54569,6.57044,511302752
09-03-2010,6.54303,6.74821,6.53538,6.68821,1095135394
10-03-2010,6.70961,6.76293,6.6937,6.74338,709358260
11-03-2010,6.71353,6.76323,6.69791,6.76323,482158828
12-03-2010,6.80937,6.82932,6.77011,6.79593,494646791
15-03-2010,6.76323,6.76323,6.6057,6.71303,586759972
16-03-2010,6.72276,6.74752,6.67345,6.7311,531857966
17-03-2010,6.74231,6.79132,6.69625,6.7208,536364825
18-03-2010,6.7152,6.74821,6.67601,6.73759,406844059
19-03-2010,6.75282,6.75548,6.63476,6.66591,665565629
22-03-2010,6.61295,6.77766,6.60274,6.74113,543010501
23-03-2010,6.76784,6.86172,6.72031,6.84897,716855455
24-03-2010,6.83326,6.90427,6.82284,6.87834,711896813
25-03-2010,6.9241,6.92764,6.78571,6.7979,645861446
26-03-2010,6.86841,6.95574,6.85475,6.92538,762742741
29-03-2010,6.98518,7.01407,6.94629,6.96927,627635787
30-03-2010,7.09806,7.12261,7.02567,7.07348,625586577
31-03-2010,7.07348,7.09637,7.03194,7.04805,511804090
01-04-2010,7.12749,7.16043,6.98078,7.07683,717352787
05-04-2010,7.04775,7.15295,7.04107,7.15266,811648858
06-04-2010,7.14568,7.20499,7.10807,7.18447,530824793
07-04-2010,7.18976,7.25529,7.15815,7.21521,747450473
08-04-2010,7.20962,7.24469,7.13792,7.19605,681766353
09-04-2010,7.24221,7.25429,7.21108,7.25146,397513882
12-04-2010,7.28524,7.28994,7.25225,7.26609,396494008
13-04-2010,7.26431,7.28211,7.23113,7.27081,363043503
14-04-2010,7.35281,7.37266,7.31988,7.36892,480468402
15-04-2010,7.37628,7.469,7.36293,7.46527,447293516
16-04-2010,7.46773,7.53116,7.33423,7.41949,893193472
19-04-2010,7.39376,7.43481,7.25066,7.40978,674439882
20-04-2010,7.47468,7.47488,7.28641,7.33582,856926613
21-04-2010,7.74576,7.80527,7.66925,7.77404,1167472097
22-04-2010,7.7438,7.99975,7.68379,7.99228,942540483
23-04-2010,8.00762,8.16258,8.00722,8.12212,947570153
26-04-2010,8.1565,8.17152,8.04345,8.08272,569606759
27-04-2010,8.00722,8.03323,7.81305,7.8593,842976095
28-04-2010,7.8869,7.91793,7.69007,7.84606,902168398
29-04-2010,7.88887,8.09825,7.85831,8.05651,664646319
30-04-2010,8.0898,8.11426,7.82757,7.83053,645112674
03-05-2010,7.93012,8.03421,7.88356,7.98846,539954678
04-05-2010,7.87159,7.89583,7.6996,7.75716,860660418
05-05-2010,7.58458,7.74251,7.46018,7.67741,1049794024
06-05-2010,7.6172,7.74546,5.97554,7.3858,1523019927
07-05-2010,7.31776,7.39446,6.7543,7.07387,1995854181
10-05-2010,7.53233,7.63722,7.45425,7.617,1169612845
11-05-2010,7.55827,7.79468,7.51301,7.69369,1010213414
12-05-2010,7.78701,7.89141,7.75785,7.86098,778293791
13-05-2010,7.89485,7.94741,7.68977,7.74812,713131661
14-05-2010,7.65471,7.69254,7.48264,7.6119,902156845
17-05-2010,7.62249,7.68299,7.42961,7.62367,907018899
18-05-2010,7.70913,7.7542,7.50543,7.56867,928515534
19-05-2010,7.48186,7.58578,7.34357,7.44816,1219920971
20-05-2010,7.23996,7.31342,7.08331,7.13016,1522325929
21-05-2010,6.94728,7.33257,6.93854,7.26727,1456606422
24-05-2010,7.41547,7.52448,7.3864,7.39996,896845730
25-05-2010,7.19431,7.39996,7.11345,7.35379,1245183409
26-05-2010,7.50358,7.5618,7.31049,7.32137,1011142372
27-05-2010,7.51918,7.61387,7.47105,7.59786,787583903
28-05-2010,7.77248,7.77994,7.59786,7.70373,970101526
01-06-2010,7.78887,7.97657,7.76618,7.82189,1040889711
02-06-2010,7.93915,7.9408,7.80804,7.91668,817908997
03-06-2010,7.95319,7.96418,7.81,7.89121,773311421
04-06-2010,7.75155,7.85488,7.63673,7.67641,900759427
07-06-2010,7.74872,7.77178,7.51398,7.52545,1054113453
08-06-2010,7.59882,7.6117,7.36743,7.47725,1190548655
09-06-2010,7.54463,7.55533,7.27276,7.29388,1015188528
10-06-2010,7.342,7.52665,7.26364,7.51358,921804284
11-06-2010,7.44287,7.61309,7.41851,7.60296,648583966
14-06-2010,7.68035,7.77178,7.6177,7.62545,716777601
15-06-2010,7.66543,7.79351,7.66268,7.78867,694895594
16-06-2010,7.82757,8.0303,7.81638,8.01448,931758594
17-06-2010,8.11858,8.18526,8.08272,8.15365,1037819505
18-06-2010,8.16437,8.24782,8.14046,8.21925,933368187
21-06-2010,8.32974,8.36793,8.05906,8.10316,920387464
22-06-2010,8.16437,8.2765,8.14246,8.21238,852132862
23-06-2010,8.2344,8.23733,8.0349,8.12643,914010762
24-06-2010,8.12643,8.19361,8.04119,8.06743,850211448
25-06-2010,8.09904,8.10582,7.97194,7.99876,651144018
28-06-2010,8.00692,8.09019,7.93266,8.0468,696366301
29-06-2010,7.92883,7.92883,7.62625,7.68279,1347067334
30-06-2010,7.69942,7.73691,7.49875,7.54366,879103835
01-07-2010,7.62104,7.64165,7.29457,7.4528,1217196786
02-07-2010,7.5182,7.52526,7.29388,7.40575,826225957
